person,race,gender
"Adam McKay, David Sirota",White,Male
Alex Garland,White,Male
Bob Nelson,White,Male
"Bobby Moresco, Paul Haggis",White,Male
"Bong Joon Ho, Han Jin Won",Asian,Male
"Charlie Kaufman, Michel Gondry, Pierre Bismuth",White,Male
Courtney Hunt,White,Female
Dan Gilroy,White,Male
David Seidler,White,Male
Diablo Cody,White,Female
Dustin Lance Black,White,Male
"David O. Russell, Eric Warren Singer",White,Male
Guillermo Arriaga,Hispanic,Male
"Hugo Guinness, Wes Anderson",White,Male
"Iris Yamashita, Paul Haggis",A - W,F - M
J.C. Chandor,White,Male
"Brad Bird, Jan Pinkava, Jim Capobianco",White,Male
"Guillaume Laurant, Jean-Pierre Jeunet",White,Male
"Eskil Vogt, Joachim Trier",White,Male
John Gatins,White,Male
John Logan,White,Male
Julian Fellowes,Middle Eastern,Male
"Keir Pearson, Terry George",White,Male
"Krysty Wilson-Cairns, Sam Mendes",White,F - M
"Emily V. Gordon, Kumail Nanjiani",I - W,F - M
"Lisa Cholodenko, Stuart Blumberg",White,F - M
Mark Boal,White,Male
Michael Arndt,White,Male
Mike Mills,White,Male
Nancy Oliver,White,Female
Nia Vardalos,White,Female
Noah Baumbach,White,Male
Paul Schrader,White,Male
Peter Morgan,White,Male
Rian Johnson,White,Male
Spike Jonze,White,Male
Stephen Gaghan,White,Male
"Jay Cocks, Kenneth Lonergan, Steve Zaillian",White,Male
Steven Knight,White,Male
Tamara Jenkins,White,Female
Taylor Sheridan,White,Male
Todd Haynes,White,Male
"Efthimis Filippou, Yorgos Lanthimos",White,Male
Zach Baylin,White,Male
"Aaron Sorkin, Stan Chervin, Steven Zaillian",White,Male
"Adam McKay, Charles Randolph",White,Male
Akiva Goldsman,White,Male
"Alexander Payne, Jim Rash, Nat Faxon",White,Male
"Alexander Payne, Jim Taylor",White,Male
"Alfonso Cuarón, David Arata, Hawk Ostby, Mark Fergus, Timothy J. Sexton",H - W,Male
"Allison Schroeder, Theodore Melfi",White,F - M
