year_film,year_ceremony,ceremony,category,name,film,winner,film_awards,gender,race,country,continent
2002,2003,75,Actress in a Leading Role,Julianne Moore,Far from Heaven,False,"{'nomsBaftas': 0, 'nomsGoldenGlobes': 4, 'nomsOscars': 4, 'winsBaftas': 0, 'winsGoldenGlobes': 0, 'winsOscars': 0}",Female,White,,
2002,2003,75,Actress in a Leading Role,Renée Zellweger,Chicago,False,"{'nomsBaftas': 10, 'nomsGoldenGlobes': 5, 'nomsOscars': 7, 'winsBaftas': 2, 'winsGoldenGlobes': 3, 'winsOscars': 6}",Female,White,,
2002,2003,75,Actress in a Supporting Role,Kathy Bates,About Schmidt,False,"{'nomsBaftas': 1, 'nomsGoldenGlobes': 3, 'nomsOscars': 2, 'winsBaftas': 0, 'winsGoldenGlobes': 2, 'winsOscars': 0}",Female,White,,
2002,2003,75,Actress in a Supporting Role,Julianne Moore,The Hours,False,"{'nomsBaftas': 9, 'nomsGoldenGlobes': 5, 'nomsOscars': 8, 'winsBaftas': 2, 'winsGoldenGlobes': 2, 'winsOscars': 1}",Female,White,,
2002,2003,75,Actress in a Supporting Role,Queen Latifah,Chicago,False,"{'nomsBaftas': 10, 'nomsGoldenGlobes': 5, 'nomsOscars': 7, 'winsBaftas': 2, 'winsGoldenGlobes': 3, 'winsOscars': 6}",Female,Black,,
2002,2003,75,Actress in a Supporting Role,Meryl Streep,Adaptation,False,"{'nomsBaftas': 3, 'nomsGoldenGlobes': 4, 'nomsOscars': 3, 'winsBaftas': 1, 'winsGoldenGlobes': 2, 'winsOscars': 1}",Female,White,,
2002,2003,75,Actress in a Supporting Role,Catherine Zeta-Jones,Chicago,True,"{'nomsBaftas': 10, 'nomsGoldenGlobes': 5, 'nomsOscars': 7, 'winsBaftas': 2, 'winsGoldenGlobes': 3, 'winsOscars': 6}",Female,White,,
2002,2003,75,Animated Feature Film,Chris Wedge,Ice Age,False,"{'nomsBaftas': 0, 'nomsGoldenGlobes': 0, 'nomsOscars': 1, 'winsBaftas': 0, 'winsGoldenGlobes': 0, 'winsOscars': 0}",Male,White,,
2002,2003,75,Animated Feature Film,Chris Sanders,Lilo & Stitch,False,"{'nomsBaftas': 0, 'nomsGoldenGlobes': 0, 'nomsOscars': 1, 'winsBaftas': 0, 'winsGoldenGlobes': 0, 'winsOscars': 0}",Male,White,,
2002,2003,75,Animated Feature Film,Jeffrey Katzenberg,Spirit: Stallion of the Cimarron,False,"{'nomsBaftas': 0, 'nomsGoldenGlobes': 1, 'nomsOscars': 1, 'winsBaftas': 0, 'winsGoldenGlobes': 0, 'winsOscars': 0}",Male,White,,
2002,2003,75,Animated Feature Film,Hayao Miyazaki,Spirited Away,True,"{'nomsBaftas': 1, 'nomsGoldenGlobes': 0, 'nomsOscars': 0, 'winsBaftas': 0, 'winsGoldenGlobes': 0, 'winsOscars': 1}",Male,Asian,,
2002,2003,75,Animated Feature Film,Ron Clements,Treasure Planet,False,"{'nomsBaftas': 0, 'nomsGoldenGlobes': 0, 'nomsOscars': 1, 'winsBaftas': 0, 'winsGoldenGlobes': 0, 'winsOscars': 0}",Male,White,,
2002,2003,75,Costume Design,Colleen Atwood,Chicago,True,"{'nomsBaftas': 10, 'nomsGoldenGlobes': 5, 'nomsOscars': 7, 'winsBaftas': 2, 'winsGoldenGlobes': 3, 'winsOscars': 6}",Female,White,,
